player_name,elo,averagetime,besttime,wins,losses
Luhmirra,118,2575433,2575433,18,46
Z_eats_socks,580,2071077,1651322,32,31
creaching,1255,1311396.65,768764,128,87
Rectrixx,869,1441793.741,1003356,62,77
Gratul_,866,1434936.368,1116524,65,48
Zorrm,622,2198273.625,1366969,109,116
NinjaRiley_YT,875,1289582.963,913516,53,55
Msaaki,937,1525974.667,1083041,80,45
gr34zyy,906,1454264.818,847651,186,162
KonradWithAK,636,1298125.416,804767,396,432
CataMorphosis,900,1312379.619,843931,44,25
HubbaHubbaSoup,827,1309042.958,897571,73,88
konradicus_,750,2129995.129,1494758,66,49
Vincidents,789,2419926.088,1333058,158,143
IshaanKannan,914,1692983.533,885491,62,62
Snibbi,680,1823417,1302976,40,32
Quadrazard,647,2011946.4,1552928,36,37
Midnightro_,721,1628549.5,1157069,39,34
ottom8ted,497,2099715.857,1286839,51,61
He1kY,1004,1704146.316,1284764,45,20
GusionLord,508,2794911.667,2176707,27,24
soft_taco69420,552,2031440.2,1675600,16,15
Tiller4363,1167,1383811.277,847803,216,173
9ep3,1301,1290294.556,780156,138,113
ninja832,1138,1555109.941,921240,64,45
Narcopus,1185,1513512.624,829922,178,131
AngryPig1000,684,2377647.714,1356563,60,38
def0_,477,1789111.333,1316527,38,49
GASS_hoagtraan,1014,1122831.807,626127,2150,2198
drawesome72,868,1198075.098,783500,1238,1287
eeshmaster_27,980,1713580.701,1049920,162,129
HappyChicken001,1029,1515696.981,954749,80,51
austinyuu,,3014240,3014240,11,6
xtremeities,1455,1003149.454,562843,680,626
RoosVengeance,1291,1208358.685,665126,302,272
Spowoy,670,1552453.667,1351783,15,18
croosie_,637,2047578.636,1442322,88,88
LilSnuggs,695,1815218.828,1147229,99,84
realMouse,794,2067019.2,882338,38,18
RangonBoy,487,2036670,1444434,24,25
CyberaticHydra,605,2170746.5,1851905,20,15
ShinyWooper,627,1649109.188,1224270,75,71
zer0cs,658,1699559.667,1201148,13,6
chunkbuster1755,396,3839698,3839698,7,6
2DaLu,1023,1180049.333,1123820,21,38
ItIsNooby,815,1000634.014,640485,504,528
Toph033,1472,848238.2453,536154,674,651
SZANluvSWK,1406,813394.1124,509236,869,817
Bobbytheturtle,1125,1486161.463,1003838,135,96
techtrix_,1014,1461654.481,760741,128,112
yuhsznnn,850,1939043.704,1207559,85,54
Bunnyhei,612,2221274.462,1563740,193,190
seandotnet,926,1420598,1173805,46,74
Seawattgaming,844,1801840.025,1024831,236,212
hugoxeneize,836,1615266.24,887685,97,84
Drobicus,931,1808604,1568799,18,24
ashpash_,963,966555.3853,569975,483,486
lustynn,1289,1013935.607,647578,295,289
C_ologne,758,1442700.625,974544,46,32
Warrior24,839,1797394.409,1094968,226,181
Wha2,594,1277343.5,1275680,12,12
Hycosmal,656,1911041.733,1391116,92,84
stevetech77,590,3240250.5,2669698,46,39
nadroJay,621,2199351.4,1732095,32,25
kepviv1,811,1500584.245,862205,207,181
Zxaun,1004,1345465.473,870424,112,85
Waveittinas,886,1727194.286,1176642,89,72
Loufman,782,1737646.56,1163065,66,54
KingboysYT,1089,1388447.235,962356,90,96
RobertoRK,1103,1485855.43,896263,133,105
azusagawasem,679,2739078.125,2095814,43,42
FeedMe69,601,2174344.071,1356039,139,124
blDragn__,972,1379153.614,991277,105,88
CormDaddy,737,1329575.438,830635,120,114
Salzis,723,1549732.925,959472,258,262
Hospitably,688,1510646.85,1039963,60,50
njplayswhat,593,1300775.456,813925,304,369
turtle_pvp,534,2299352.5,1737961,38,27
clementineboi,501,2724614.833,1599350,11,4
Mac_DYT,576,2166952.2,1867453,34,34
Zakklmao,553,1940458,1835411,23,22
ObiWanWaffle,705,1423977.389,957204,42,38
mesitaURU,632,1772579.69,982053,326,308
NotBorgah,1259,1308928.202,789206,162,113
youngbull97,1148,1387960.581,707220,57,25
KimChuriki,625,2347774.6,1864678,86,84
HawksBoy15,477,2246918.5,2153242,22,32
sTaTicMessy,311,3153365,3153365,13,27
NuggetOCE,442,1887022,1345417,30,37
Lpito_,664,1916823.571,1435212,45,43
ClutchCollazo7,608,1843469,1843469,37,38
FireyCake256,652,2350278.893,1612904,79,66
GooierStew,629,3019146.714,1856071,41,37
BlueDude_,1215,1008185.765,632093,408,398
Waterfina,1347,886062.4624,514478,728,732
Kinpach,1324,1298228.359,811504,150,116
TiredKuri,1309,1252161.137,781202,196,154
FuzzKing,1662,758453.1243,505526,1046,1026
dontfwjosh,1582,817746.579,400505,2305,2187
fortnitejohnsons,550,1675855.111,1459367,28,27
xumingmc,1055,1120730.365,607961,2559,2640
52623902107111T,1273,1083436.061,689590,259,238
FatherFrenchy,396,4193213.143,2008563,29,27
Kookaamonga,497,2954473.167,2332993,41,42
Fimigons,582,2119739.333,1613863,47,34
TreeFel_,675,1552591.9,1286016,28,15
ArcticsYT,841,1561616.267,1090406,66,38
Brahen,874,1440694.284,780599,245,240
PandaPuffer,1441,759852.83,479525,1094,1099
Celatrix,1506,846974.2083,503613,1849,1847
ignHero,1151,960916.5714,569723,511,554
hatsunemikuchann,1349,883341.3111,526584,488,438
adicriedwolf,837,1798078,1263202,43,25
Rafi_74,592,1642341.667,1252140,36,31
srvul,709,1792880.571,1258518,28,19
nwcto,524,3104497,2727373,22,16
Wqrden,826,1534981.154,1066921,33,18
NlCX08,408,2003847,1540273,35,32
D1amondOre,519,1726943.778,1187100,36,46
Flowtives,915,1367541.235,683405,74,91
Khantest,1121,1115920.776,752991,165,151
JX5H,819,1645057.024,936377,86,63
SirGummy8,953,1652667.948,986332,191,148
YallayAllen,727,1738299.2,1366509,34,28
Aneeshewa,813,1614706.152,1017597,80,59
